iter	Passed	Remaining
0	0	83
1	1	73
2	2	69
3	2	62
4	3	61
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	53
13	8	53
14	9	52
15	9	51
16	10	50
17	10	49
18	11	48
19	11	47
20	12	47
21	13	46
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	29
44	24	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	28	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	43	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
